,google score
0,0.0
1,0.0
2,-0.20000000298023224
3,0.0
4,-0.10000000149011612
5,0.4000000059604645
6,0.30000001192092896
7,0.6000000238418579
8,0.5
9,0.30000001192092896
10,0.800000011920929
11,0.0
12,0.30000001192092896
13,0.0
14,0.0
15,0.5
16,0.0
17,0.699999988079071
18,0.30000001192092896
19,0.4000000059604645
20,0.4000000059604645
21,0.5
22,0.20000000298023224
23,0.30000001192092896
24,0.20000000298023224
25,0.6000000238418579
26,0.20000000298023224
27,0.30000001192092896
28,0.20000000298023224
29,0.4000000059604645
30,0.20000000298023224
31,0.0
32,-0.10000000149011612
33,0.5
34,0.20000000298023224
35,0.30000001192092896
36,0.0
37,0.699999988079071
38,0.4000000059604645
39,0.0
40,0.5
41,0.4000000059604645
42,0.20000000298023224
43,0.0
44,0.10000000149011612
45,0.30000001192092896
46,0.800000011920929
47,0.10000000149011612
48,0.699999988079071
49,0.30000001192092896
50,0.30000001192092896
51,0.0
52,0.20000000298023224
53,0.0
54,0.4000000059604645
55,0.20000000298023224
56,0.20000000298023224
57,0.10000000149011612
58,0.0
59,0.4000000059604645
60,-0.4000000059604645
61,0.10000000149011612
62,0.0
63,0.10000000149011612
64,0.10000000149011612
65,0.20000000298023224
66,0.20000000298023224
67,0.4000000059604645
68,0.10000000149011612
69,0.30000001192092896
70,0.0
71,-0.4000000059604645
72,-0.10000000149011612
73,0.0
74,-0.5
75,0.800000011920929
76,0.20000000298023224
77,0.10000000149011612
78,0.800000011920929
79,0.10000000149011612
80,0.30000001192092896
81,0.30000001192092896
82,0.0
83,0.4000000059604645
84,0.6000000238418579
85,0.0
86,0.20000000298023224
87,0.4000000059604645
88,0.20000000298023224
89,0.20000000298023224
90,0.8999999761581421
91,0.30000001192092896
92,0.0
93,0.20000000298023224
94,0.0
95,0.4000000059604645
96,0.20000000298023224
97,0.20000000298023224
